customer_id,age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status,province,monthly_income,stressed_interest_rate
CUST100072,34,Employed,14.2,63302,649,13.7,8611,17651,0,0,0,Personal Loan,Medical,56300,14.8,27.900000000000002,0.889,0.296,1,Ontario,5275.166666666667,16.8
CUST100073,53,Employed,33.1,43747,702,26.7,642,7077,0,0,0,Personal Loan,Medical,38100,11.28,16.2,0.871,0.29,1,British Columbia,3645.5833333333335,13.28
CUST100074,18,Employed,0.0,15000,613,1.9,59,6782,0,1,0,Personal Loan,Personal,9600,14.93,45.2,0.64,0.213,0,Ontario,1250.0,16.93
CUST100075,44,Employed,3.8,52442,714,6.6,552,20939,0,0,0,Line of Credit,Business,42600,8.11,39.900000000000006,0.812,0.271,0,Ontario,4370.166666666667,10.11
CUST100076,36,Employed,5.6,15000,615,0.9,42,2352,0,0,0,Credit Card,Home Improvement,800,19.44,15.7,0.053,0.018,1,Ontario,1250.0,21.44
CUST100077,31,Employed,5.0,17124,595,12.8,342,2153,0,0,0,Credit Card,Medical,20700,21.79,12.6,1.209,0.403,0,Ontario,1427.0,23.79
CUST100078,36,Employed,8.2,60707,569,13.1,1319,10760,0,1,0,Credit Card,Debt Consolidation,7400,22.05,17.7,0.122,0.041,0,Ontario,5058.916666666667,24.05
CUST100079,18,Self-Employed,1.0,72070,546,0.6,25,11549,0,0,0,Line of Credit,Education,26500,13.09,16.0,0.368,0.123,1,British Columbia,6005.833333333333,15.09
CUST100080,32,Employed,9.0,39663,612,11.9,1288,20369,0,4,0,Line of Credit,Personal,16700,12.65,51.4,0.421,0.14,0,Ontario,3305.25,14.65
CUST100081,39,Employed,11.4,70053,742,1.5,439,22131,0,0,0,Credit Card,Education,58700,16.05,31.6,0.838,0.279,1,British Columbia,5837.75,18.05
CUST100082,52,Employed,7.8,63670,588,7.1,5227,10764,0,0,1,Personal Loan,Home Improvement,12400,16.07,16.900000000000002,0.195,0.065,0,British Columbia,5305.833333333333,18.07
CUST100083,28,Employed,3.6,47789,643,2.5,2169,8286,0,0,0,Personal Loan,Medical,14500,13.09,17.299999999999997,0.303,0.101,1,Ontario,3982.4166666666665,15.09
CUST100084,25,Employed,2.9,28457,572,0.7,57,10323,0,1,0,Line of Credit,Education,26600,14.18,36.3,0.935,0.312,0,British Columbia,2371.4166666666665,16.18
CUST100085,28,Employed,6.6,84255,596,9.8,878,33977,0,1,0,Credit Card,Personal,2500,22.41,40.300000000000004,0.03,0.01,0,British Columbia,7021.25,24.41
CUST100086,45,Employed,3.8,26104,733,15.5,394,3965,0,0,0,Line of Credit,Medical,17900,9.04,15.2,0.686,0.229,1,British Columbia,2175.3333333333335,11.04
CUST100087,38,Employed,4.8,100452,626,4.4,34216,26515,0,1,0,Line of Credit,Debt Consolidation,18000,11.94,26.400000000000002,0.179,0.06,0,Ontario,8371.0,13.94
CUST100088,28,Self-Employed,2.4,68946,563,9.6,10665,14467,0,0,0,Credit Card,Education,54800,21.97,21.0,0.795,0.265,1,Ontario,5745.5,23.97
CUST100089,41,Student,1.0,15089,677,5.2,71,5207,0,0,0,Credit Card,Personal,1500,18.12,34.5,0.099,0.033,1,Ontario,1257.4166666666667,20.12
CUST100090,36,Employed,13.6,84881,671,16.5,624,15127,0,0,0,Personal Loan,Medical,100000,12.25,17.8,1.178,0.393,1,British Columbia,7073.416666666667,14.25
CUST100091,46,Self-Employed,20.4,53989,707,2.0,111,7935,0,1,0,Personal Loan,Personal,22200,10.96,14.7,0.411,0.137,1,Ontario,4499.083333333333,12.96
CUST100092,26,Employed,5.9,23965,620,3.0,310,8363,0,2,0,Personal Loan,Education,19700,13.82,34.9,0.822,0.274,1,British Columbia,1997.0833333333333,15.82
CUST100093,31,Employed,9.7,15000,656,3.0,8833,2723,0,0,0,Personal Loan,Medical,22100,12.07,18.2,1.473,0.491,1,Ontario,1250.0,14.07
CUST100094,30,Employed,2.9,41520,658,1.7,1580,8858,0,0,0,Credit Card,Debt Consolidation,38500,17.14,21.3,0.927,0.309,0,Ontario,3460.0,19.14
CUST100095,18,Student,1.8,51991,632,1.0,148,14715,0,0,0,Credit Card,Education,5200,20.98,28.299999999999997,0.1,0.033,1,Ontario,4332.583333333333,22.98
CUST100096,38,Employed,1.1,51546,566,7.0,5034,10013,0,1,0,Personal Loan,Medical,22700,16.23,19.400000000000002,0.44,0.147,0,Ontario,4295.5,18.23
CUST100097,38,Employed,10.8,48764,587,2.5,1189,8547,1,3,0,Credit Card,Home Improvement,48100,22.48,17.5,0.986,0.329,0,British Columbia,4063.6666666666665,24.48
CUST100098,35,Self-Employed,2.1,78772,601,11.0,4079,11152,0,1,0,Personal Loan,Business,54100,13.28,14.2,0.687,0.229,1,British Columbia,6564.333333333333,15.28
CUST100099,32,Employed,8.4,40224,671,11.7,292,19103,0,0,0,Credit Card,Personal,38800,17.03,47.5,0.965,0.322,1,Ontario,3352.0,19.03
CUST100100,18,Employed,0.0,20293,640,0.7,68,6127,0,0,0,Credit Card,Personal,900,19.58,30.2,0.044,0.015,1,Ontario,1691.0833333333333,21.58
CUST100101,29,Self-Employed,4.8,23719,580,6.7,4338,3987,1,1,0,Credit Card,Education,31100,22.42,16.8,1.311,0.437,0,Ontario,1976.5833333333333,24.42
CUST100102,30,Employed,0.4,32703,640,0.4,51,12283,0,0,0,Credit Card,Medical,26500,20.97,37.6,0.81,0.27,0,British Columbia,2725.25,22.97
CUST100103,25,Employed,1.2,25673,662,3.2,249,10494,0,0,0,Line of Credit,Medical,10300,10.68,40.9,0.401,0.134,1,Ontario,2139.4166666666665,12.68
CUST100104,33,Employed,11.3,61216,644,3.3,377,5894,0,0,0,Personal Loan,Medical,92500,13.56,9.6,1.511,0.504,0,Ontario,5101.333333333333,15.56
CUST100105,39,Employed,6.4,45153,703,2.4,612,17032,0,0,1,Personal Loan,Education,75900,10.88,37.7,1.681,0.56,1,Ontario,3762.75,12.88
CUST100106,57,Self-Employed,26.6,116531,647,27.2,241834,26197,0,1,0,Credit Card,Business,45700,19.32,22.5,0.392,0.131,1,British Columbia,9710.916666666666,21.32
CUST100107,37,Student,0.2,15000,678,11.4,3140,3430,0,0,0,Line of Credit,Home Improvement,6700,10.94,22.900000000000002,0.447,0.149,1,Ontario,1250.0,12.94
CUST100108,38,Employed,10.6,32304,611,5.3,436,11166,0,1,0,Line of Credit,Home Improvement,16600,11.36,34.599999999999994,0.514,0.171,1,Ontario,2692.0,13.36
CUST100109,34,Employed,14.8,49400,633,15.5,1282,24497,0,0,0,Line of Credit,Business,16300,11.28,49.6,0.33,0.11,0,British Columbia,4116.666666666667,13.28
CUST100110,18,Employed,0.0,15000,630,0.1,3,3083,0,1,0,Personal Loan,Home Improvement,5800,14.28,20.599999999999998,0.387,0.129,0,Ontario,1250.0,16.28
CUST100111,34,Employed,5.2,26957,743,7.7,8220,10988,0,0,0,Personal Loan,Education,48300,11.01,40.8,1.792,0.597,1,Ontario,2246.4166666666665,13.01
CUST100112,35,Employed,16.4,74749,664,14.9,4204,27932,0,0,0,Credit Card,Personal,70000,17.69,37.4,0.936,0.312,1,Ontario,6229.083333333333,19.69
CUST100113,64,Self-Employed,13.3,79988,659,22.2,3835,21478,0,0,0,Credit Card,Medical,15700,17.2,26.900000000000002,0.196,0.065,1,Ontario,6665.666666666667,19.2
CUST100114,32,Self-Employed,7.3,25622,638,2.8,71,2670,0,0,0,Personal Loan,Education,5600,14.34,10.4,0.219,0.073,1,Ontario,2135.1666666666665,16.34
CUST100115,38,Employed,18.4,39184,684,19.5,4115,8599,0,0,0,Personal Loan,Personal,62100,11.29,21.9,1.585,0.528,1,Ontario,3265.3333333333335,13.29
CUST100116,34,Employed,0.2,57880,635,12.0,4071,9813,0,0,0,Personal Loan,Personal,53200,14.39,17.0,0.919,0.306,1,British Columbia,4823.333333333333,16.39
CUST100117,20,Employed,1.1,26435,641,0.8,18,5658,0,0,0,Personal Loan,Debt Consolidation,31300,13.1,21.4,1.184,0.395,0,Ontario,2202.9166666666665,15.1
CUST100118,48,Employed,21.4,79056,612,5.5,357,22328,0,1,0,Credit Card,Debt Consolidation,11600,20.89,28.199999999999996,0.147,0.049,1,Ontario,6588.0,22.89
CUST100119,44,Student,0.8,20821,714,10.4,172,7864,0,0,0,Credit Card,Debt Consolidation,2100,16.42,37.8,0.101,0.034,1,British Columbia,1735.0833333333333,18.42
CUST100120,44,Employed,17.5,103052,641,9.5,14565,21353,0,0,0,Line of Credit,Debt Consolidation,42600,11.01,20.7,0.413,0.138,1,British Columbia,8587.666666666666,13.01
CUST100121,24,Employed,4.8,20874,601,1.0,26,5259,0,0,0,Personal Loan,Personal,20000,14.71,25.2,0.958,0.319,1,British Columbia,1739.5,16.71
CUST100122,51,Self-Employed,9.8,47304,657,25.1,2868,12139,0,0,0,Personal Loan,Medical,53200,11.05,25.7,1.125,0.375,1,Ontario,3942.0,13.05
CUST100123,18,Employed,0.0,22236,564,1.6,11,13003,0,0,0,Credit Card,Education,27400,21.06,58.5,1.232,0.411,0,Ontario,1853.0,23.06
CUST100124,42,Employed,2.1,63925,735,15.5,25375,5041,0,0,0,Credit Card,Education,2700,16.44,7.9,0.042,0.014,1,British Columbia,5327.083333333333,18.44
CUST100125,61,Employed,38.2,246598,702,9.2,2489,81525,0,0,0,Credit Card,Business,70000,15.9,33.1,0.284,0.095,1,Ontario,20549.833333333332,17.9
CUST100126,23,Student,0.1,15000,617,2.7,79,716,0,1,0,Credit Card,Education,1500,20.97,4.8,0.1,0.033,1,British Columbia,1250.0,22.97
CUST100127,28,Self-Employed,3.4,134440,641,4.7,1893,7238,0,0,0,Credit Card,Debt Consolidation,60500,20.71,5.4,0.45,0.15,0,British Columbia,11203.333333333334,22.71
CUST100128,36,Employed,9.6,76486,652,13.7,11903,19387,0,0,0,Credit Card,Home Improvement,70000,18.94,25.3,0.915,0.305,1,British Columbia,6373.833333333333,20.94
CUST100129,28,Employed,1.4,43149,654,1.2,5764,18969,0,0,0,Personal Loan,Home Improvement,57800,12.55,44.0,1.34,0.447,0,British Columbia,3595.75,14.55
CUST100130,18,Employed,0.0,23129,670,0.4,13,2077,0,0,0,Credit Card,Business,23900,17.44,9.0,1.033,0.344,0,British Columbia,1927.4166666666667,19.44
CUST100131,35,Employed,5.0,29272,657,6.8,43,13669,0,0,1,Credit Card,Debt Consolidation,25800,18.98,46.7,0.881,0.294,0,British Columbia,2439.3333333333335,20.98
CUST100132,22,Employed,3.2,45904,592,2.0,285,17642,0,0,0,Credit Card,Home Improvement,52200,21.49,38.4,1.137,0.379,0,Ontario,3825.3333333333335,23.49
CUST100133,40,Employed,18.1,66046,623,15.3,4843,7718,0,1,0,Personal Loan,Personal,100000,13.15,11.700000000000001,1.514,0.505,1,Ontario,5503.833333333333,15.15
CUST100134,23,Employed,2.2,15177,698,3.0,11,2128,0,0,0,Personal Loan,Education,5400,12.46,14.000000000000002,0.356,0.119,1,Ontario,1264.75,14.46
CUST100135,53,Employed,15.2,132904,484,24.3,3873,31171,0,2,0,Personal Loan,Home Improvement,100000,15.95,23.5,0.752,0.251,1,Ontario,11075.333333333334,17.95
CUST100136,25,Employed,0.5,31555,569,5.4,750,6842,0,0,0,Personal Loan,Debt Consolidation,25800,16.46,21.7,0.818,0.273,0,British Columbia,2629.5833333333335,18.46
CUST100137,31,Employed,4.6,16069,440,4.6,113,4414,0,1,0,Line of Credit,Business,6300,14.82,27.500000000000004,0.392,0.131,0,British Columbia,1339.0833333333333,16.82
CUST100138,44,Employed,10.5,97803,727,0.5,75,32371,0,0,0,Credit Card,Business,70000,15.67,33.1,0.716,0.239,1,Ontario,8150.25,17.67
CUST100139,20,Self-Employed,1.0,48503,655,1.9,294,9667,0,0,0,Credit Card,Education,27500,17.2,19.900000000000002,0.567,0.189,1,Ontario,4041.9166666666665,19.2
CUST100140,37,Self-Employed,7.3,41531,784,8.2,836,14306,0,0,0,Credit Card,Personal,11900,15.08,34.4,0.287,0.096,1,Ontario,3460.9166666666665,17.08
CUST100141,50,Self-Employed,3.5,170371,677,2.6,103,41781,0,0,0,Credit Card,Home Improvement,3600,17.66,24.5,0.021,0.007,1,Ontario,14197.583333333334,19.66
CUST100142,18,Employed,0.0,22404,490,1.8,34,10023,0,1,2,Line of Credit,Personal,18600,14.29,44.7,0.83,0.277,0,British Columbia,1867.0,16.29
CUST100143,37,Employed,8.2,49011,669,8.4,132,26871,0,0,0,Line of Credit,Business,23600,9.44,54.800000000000004,0.482,0.161,0,British Columbia,4084.25,11.44
CUST100144,38,Student,0.8,17861,576,0.8,628,8543,0,0,1,Line of Credit,Personal,6900,13.9,47.8,0.386,0.129,0,Ontario,1488.4166666666667,15.9
CUST100145,44,Employed,3.7,116002,612,20.6,842,39433,0,1,0,Personal Loan,Education,100000,13.93,34.0,0.862,0.287,1,British Columbia,9666.833333333334,15.93
CUST100146,20,Employed,1.3,40582,548,1.5,6042,3140,0,0,0,Line of Credit,Personal,19300,13.47,7.7,0.476,0.159,0,Ontario,3381.8333333333335,15.47
CUST100147,19,Employed,0.1,25197,622,0.5,24,6888,0,2,0,Credit Card,Home Improvement,24200,19.5,27.3,0.96,0.32,0,British Columbia,2099.75,21.5
CUST100148,41,Employed,0.1,26189,697,3.8,211,4149,0,0,0,Credit Card,Education,23200,18.37,15.8,0.886,0.295,1,British Columbia,2182.4166666666665,20.37
CUST100149,38,Student,1.2,26736,596,7.6,1296,5468,0,1,1,Personal Loan,Personal,20400,15.47,20.5,0.763,0.254,0,Ontario,2228.0,17.47
CUST100150,38,Employed,1.7,62939,651,10.5,310,15270,1,3,0,Credit Card,Debt Consolidation,18600,18.22,24.3,0.296,0.099,0,Ontario,5244.916666666667,20.22
CUST100151,39,Employed,1.3,55353,641,14.3,226,29460,0,0,0,Credit Card,Personal,20000,20.87,53.2,0.361,0.12,0,Ontario,4612.75,22.87
CUST100152,26,Student,0.2,16409,653,7.5,550,4709,0,0,0,Personal Loan,Personal,5900,11.8,28.7,0.36,0.12,1,Ontario,1367.4166666666667,13.8
CUST100153,37,Employed,17.8,63252,584,1.0,309,22821,0,0,0,Personal Loan,Education,100000,15.47,36.1,1.581,0.527,0,British Columbia,5271.0,17.47
CUST100154,38,Employed,2.1,60706,600,4.5,642,21034,0,2,0,Line of Credit,Business,17300,11.26,34.599999999999994,0.285,0.095,0,Ontario,5058.833333333333,13.26
CUST100155,26,Employed,6.7,49978,555,6.4,143,12337,0,0,0,Personal Loan,Home Improvement,87500,15.32,24.7,1.751,0.584,0,British Columbia,4164.833333333333,17.32
CUST100156,57,Self-Employed,23.5,68032,599,13.8,331,23373,0,1,0,Line of Credit,Debt Consolidation,20000,14.78,34.4,0.294,0.098,0,Ontario,5669.333333333333,16.78
